Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total,Ciudad,Categoria_Cliente,Categoria_Producto,Impuesto
2025-10-30,Pedro Castillo,Laptop,4,738.73,2954.92,Siguatepeque,Gold,Electrónica,0.15
2025-10-20,Luis Mejía,Impresora,1,737.38,737.38,El Paraíso,Silver,Oficina,0.12
2025-10-07,Ana López,Mouse,1,708.31,708.31,Tegucigalpa,Gold,Accesorios,0.1
2025-10-12,Carla Torres,Teclado,2,141.58,283.16,San Pedro Sula,Gold,Accesorios,0.1
2025-10-02,José Molina,Mouse,4,285.36,1141.44,Danlí,Regular,Accesorios,0.1
2025-10-26,Andrea Ramos,Monitor,3,921.72,2765.16,Juticalpa,Regular,Electrónica,0.15
2025-10-17,Carla Torres,Teclado,5,868.87,4344.35,San Pedro Sula,Gold,Accesorios,0.1
2025-10-21,Marco Díaz,Mouse,4,482.0,1928.0,Comayagua,Silver,Accesorios,0.1
2025-10-22,Marta Suazo,Laptop,1,786.41,786.41,La Ceiba,Regular,Electrónica,0.15
2025-10-15,Marco Díaz,Laptop,1,1326.51,1326.51,Comayagua,Silver,Electrónica,0.15
2025-10-04,Marco Díaz,Impresora,1,132.52,132.52,Comayagua,Silver,Oficina,0.12
2025-10-07,Marco Díaz,Teclado,3,1247.15,3741.45,Comayagua,Silver,Accesorios,0.1
2025-10-14,Luis Mejía,Teclado,3,717.99,2153.97,El Paraíso,Silver,Accesorios,0.1
2025-10-20,Pedro Castillo,Audífonos,2,775.5,1551.0,Siguatepeque,Gold,Accesorios,0.1
2025-10-12,Marco Díaz,Laptop,5,1432.18,7160.9,Comayagua,Silver,Electrónica,0.15
2025-10-23,Marco Díaz,Mouse,3,599.63,1798.89,Comayagua,Silver,Accesorios,0.1
2025-10-24,Ana López,Mouse,1,1343.28,1343.28,Tegucigalpa,Gold,Accesorios,0.1
2025-10-05,Pedro Castillo,Teclado,3,391.8,1175.4,Siguatepeque,Gold,Accesorios,0.1
2025-10-22,Carla Torres,Teclado,4,648.07,2592.28,San Pedro Sula,Gold,Accesorios,0.1
2025-10-20,Marta Suazo,Monitor,4,1437.08,5748.32,La Ceiba,Regular,Electrónica,0.15
2025-10-22,Pedro Castillo,Impresora,5,248.54,1242.7,Siguatepeque,Gold,Oficina,0.12
2025-10-15,Marta Suazo,Laptop,1,363.09,363.09,La Ceiba,Regular,Electrónica,0.15
2025-10-14,Luis Mejía,Mouse,1,246.35,246.35,El Paraíso,Silver,Accesorios,0.1
2025-10-20,Carla Torres,Mouse,1,698.28,698.28,San Pedro Sula,Gold,Accesorios,0.1
2025-10-02,Carla Torres,Monitor,2,624.61,1249.22,San Pedro Sula,Gold,Electrónica,0.15
2025-10-16,Ana López,Monitor,1,421.6,421.6,Tegucigalpa,Gold,Electrónica,0.15
2025-10-05,Luis Mejía,Mouse,1,949.52,949.52,El Paraíso,Silver,Accesorios,0.1
